name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"14.65, 121.05",2020-01-13,29.6,23.7,26.7,32.8,23.7,28.2,22.6,78.4,0,0,0,,0,0,16.2,17.9,28,1010.1,68.4,9.1,63.3,5.4,2,,2020-01-13T06:24:14,2020-01-13T17:44:13,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,RPLC,98327099999,98428099999,RPLL,C6BR3,98430099999,98433099999,E0758,98425099999"
"14.65, 121.05",2020-01-14,30,24,26.8,34.1,24,28.3,22.1,75.9,0,0,0,,0,0,33.5,23.3,2,1011.7,56.2,9.4,50.3,4.2,2,,2020-01-14T06:24:24,2020-01-14T17:44:47,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,RPLC,98327099999,98428099999,RPLL,C6BR3,98430099999,98433099999,E0758,98425099999"
"14.65, 121.05",2020-01-15,30.3,22.7,26.8,34.8,22.7,28.3,21.9,75.4,0,0,0,,0,0,41,18.1,74.2,1012.7,47,9.2,51.5,4.5,2,,2020-01-15T06:24:34,2020-01-15T17:45:22,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,RPLC,98327099999,98428099999,RPLL,98430099999,98433099999,E0758,98425099999"
"14.65, 121.05",2020-01-16,32,23.2,27.4,36.2,23.2,29,21.3,70,0,0,0,,0,0,29.5,19.9,104,1012.6,42.6,9,93.6,8.2,4,,2020-01-16T06:24:42,2020-01-16T17:45:56,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,RPLC,98327099999,98428099999,RPLL,C6BR3,98430099999,98433099999,E0758,98425099999"
"14.65, 121.05",2020-01-17,31,23.9,27.8,36.5,23.9,30.5,22.6,73.5,0,0,0,,0,0,21.2,23,347.7,1012.8,48.2,9.3,74.2,6.3,3,,2020-01-17T06:24:50,2020-01-17T17:46:31,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,RPLC,98327099999,98428099999,RPLL,C6BR3,98430099999,98433099999,E0758,98425099999"
"14.65, 121.05",2020-01-18,31.1,24.5,27.2,35.5,24.5,29.1,22.5,76,0.9,100,4.17,rain,0,0,24.1,94.3,75.4,1013,48.9,9,59.6,5.2,3,,2020-01-18T06:24:56,2020-01-18T17:47:05,0.76,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"98429099999,C6CX3,RPLC,98327099999,98428099999,RPLL,C6BR3,98430099999,98433099999,E0758,98425099999"
"14.65, 121.05",2020-01-19,29.1,23.2,26.2,33.4,23.2,27.3,21,73.6,0,0,0,,0,0,25.6,19.7,47.5,1014.7,41.2,8.7,56,4.9,2,,2020-01-19T06:25:01,2020-01-19T17:47:38,0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,RPLC,98327099999,98428099999,RPLL,C6BR3,98430099999,98433099999,E0758,98425099999"
"14.65, 121.05",2020-01-20,30,21.9,26.3,33.2,21.9,27.4,21.1,73.7,0,0,0,,0,0,36,26.8,96.3,1015.6,41.3,9.5,62.5,5.4,3,,2020-01-20T06:25:05,2020-01-20T17:48:12,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,RPLC,98327099999,98428099999,RPLL,C6BR3,98430099999,98433099999,E0758,98425099999"
"14.65, 121.05",2020-01-21,31.1,22.2,26.7,32.7,22.2,27.3,19.8,67.1,0,0,0,,0,0,44.6,25.6,98.3,1017.1,43.4,9.3,83.9,7.4,4,,2020-01-21T06:25:08,2020-01-21T17:48:45,0.87,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,RPLC,98327099999,98428099999,RPLL,C6BR3,98430099999,98433099999,E0758,98425099999"
"14.65, 121.05",2020-01-22,31.1,20.2,26.6,32.1,20.2,27.1,18.8,63.6,0,0,0,,0,0,48.2,29.4,80.6,1016.6,31.8,9.5,111.5,9.7,5,,2020-01-22T06:25:09,2020-01-22T17:49:17,0.9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,RPLC,98327099999,98428099999,RPLL,C6BR3,ZCBU6,98430099999,98433099999,E0758,98425099999"
